,STATE,ST_CASE,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,WEATHER,DRUNK_DR
208,Alabama,10210,17,3111,25,4,2015,Saturday,19,0,Cloudy,0
209,Alabama,10211,81,0,30,4,2015,Thursday,9,27,Clear,0
210,Alabama,10212,89,0,30,4,2015,Thursday,17,10,Clear,0
211,Alabama,10213,107,0,30,4,2015,Thursday,21,25,Clear,0
212,Alabama,10214,55,1370,30,4,2015,Thursday,20,35,Clear,1
213,Alabama,10215,73,350,2,5,2015,Saturday,22,30,Clear,0
214,Alabama,10216,97,2550,3,5,2015,Sunday,17,43,Clear,0
215,Alabama,10217,125,3050,4,5,2015,Monday,0,50,Clear,1
216,Alabama,10218,87,3070,4,5,2015,Monday,11,0,Clear,0
217,Alabama,10219,1,0,4,5,2015,Monday,15,50,Clear,0
218,Alabama,10220,71,0,4,5,2015,Monday,19,18,Clear,0
219,Alabama,10221,77,0,5,5,2015,Tuesday,14,45,Clear,0
220,Alabama,10222,127,0,6,5,2015,Wednesday,7,35,Clear,0
221,Alabama,10223,3,1210,1,5,2015,Friday,21,7,Clear,1
222,Alabama,10224,33,2190,4,5,2015,Monday,21,6,Clear,0
223,Alabama,10225,101,2130,2,4,2015,Thursday,22,23,Clear,1
224,Alabama,10226,33,0,8,5,2015,Friday,9,20,Clear,0
225,Alabama,10227,125,3050,8,5,2015,Friday,11,15,Clear,0
226,Alabama,10228,77,0,10,5,2015,Sunday,16,35,Clear,0
227,Alabama,10229,15,100,4,5,2015,Monday,6,59,Clear,0
228,Alabama,10230,21,700,24,5,2015,Sunday,9,25,Clear,0
229,Alabama,10231,17,3111,23,5,2015,Saturday,20,0,Clear,0
230,Alabama,10232,101,2130,11,5,2015,Monday,20,49,Clear,0
231,Alabama,10233,115,0,14,5,2015,Thursday,17,17,Clear,0
232,Alabama,10234,115,0,11,5,2015,Monday,16,0,Clear,0
233,Alabama,10235,101,2130,8,5,2015,Friday,19,33,Clear,0
234,Alabama,10236,39,0,11,4,2015,Saturday,13,10,Cloudy,0
235,Alabama,10237,31,0,3,5,2015,Sunday,2,0,Clear,1
236,Alabama,10238,33,0,3,5,2015,Sunday,16,55,Clear,1
237,Alabama,10239,61,0,9,5,2015,Saturday,18,55,Clear,0
238,Alabama,10240,53,0,11,5,2015,Monday,8,30,Clear,0
239,Alabama,10241,29,0,11,5,2015,Monday,12,30,Clear,0
240,Alabama,10242,113,2440,10,5,2015,Sunday,0,10,Clear,1
241,Alabama,10243,113,0,9,5,2015,Saturday,15,7,Clear,0
242,Alabama,10244,97,0,7,5,2015,Thursday,6,40,Clear,0
243,Alabama,10245,103,0,14,5,2015,Thursday,14,30,Clear,1
244,Alabama,10246,131,2490,14,5,2015,Thursday,21,58,Cloudy,0
245,Alabama,10247,97,2550,15,5,2015,Friday,21,31,Rain,0
246,Alabama,10248,19,0,15,5,2015,Friday,9,30,Clear,0
247,Alabama,10249,69,0,18,5,2015,Monday,1,55,Clear,0
248,Alabama,10250,67,0,18,5,2015,Monday,6,53,Clear,0
249,Alabama,10251,19,1852,18,5,2015,Monday,15,18,Clear,0
250,Alabama,10252,15,2370,20,5,2015,Wednesday,5,57,Clear,0
251,Alabama,10253,55,2822,20,5,2015,Wednesday,6,3,Clear,1
252,Alabama,10254,115,0,20,5,2015,Wednesday,17,15,Clear,0
253,Alabama,10255,61,0,20,5,2015,Wednesday,19,50,Rain,1
254,Alabama,10256,97,2100,20,5,2015,Wednesday,20,41,Clear,0
255,Alabama,10257,77,0,21,5,2015,Thursday,13,30,Cloudy,0
256,Alabama,10258,117,530,21,5,2015,Thursday,14,0,Cloudy,0
257,Alabama,10259,59,3130,22,5,2015,Friday,16,55,Clear,0
258,Alabama,10260,121,0,22,5,2015,Friday,19,51,Clear,0
259,Alabama,10261,27,0,24,5,2015,Sunday,18,15,Clear,1
