,ST_CASE,HOUR,MINUTE,TIME
8895,130245,22,40,1360
8896,130246,15,0,900
8897,130247,10,13,613
8898,130248,7,20,440
8899,130249,7,22,442
8900,130250,8,22,502
8901,130251,16,36,996
8902,130252,10,55,655
8903,130253,0,56,56
8904,130254,7,5,425
8905,130255,11,13,673
8906,130256,17,0,1020
8907,130257,7,11,431
8908,130258,7,3,423
8909,130259,9,12,552
8910,130260,9,2,542
8911,130261,18,28,1108
8912,130262,17,22,1042
8913,130263,13,51,831
8914,130264,21,52,1312
8915,130265,20,30,1230
8916,130266,21,44,1304
8917,130267,22,19,1339
8918,130268,22,29,1349
8919,130269,15,21,921
8920,130270,13,45,825
8921,130271,16,34,994
8922,130272,2,10,130
8923,130273,0,1,1
8924,130274,10,45,645
8925,130275,17,22,1042
8926,130276,23,21,1401
8927,130277,21,19,1279
8928,130278,2,48,168
8929,130279,12,6,726
8930,130280,12,7,727
8931,130281,14,15,855
8932,130282,12,10,730
8933,130283,7,55,475
8934,130284,23,56,1436
8935,130285,10,45,645
8936,130286,18,24,1104
8937,130287,18,16,1096
8938,130288,1,43,103
8939,130289,7,13,433
8940,130290,7,37,457
8941,130291,12,32,752
8942,130292,22,11,1331
8943,130293,15,35,935
8944,130294,15,8,908
8945,130295,7,35,455
8946,130296,18,20,1100
8947,130297,8,24,504
8948,130298,15,8,908
8949,130299,19,22,1162
8950,130300,17,41,1061
8951,130301,7,18,438
8952,130302,20,28,1228
8953,130303,15,31,931
8954,130304,13,46,826
8955,130305,21,36,1296
8956,130306,17,0,1020
8957,130307,8,32,512
8958,130308,1,52,112
8959,130309,15,12,912
8960,130310,16,34,994
8961,130311,21,5,1265
8962,130312,10,15,615
8963,130313,16,0,960
8964,130314,17,20,1040
8965,130315,16,0,960
8966,130316,6,50,410
8967,130317,23,56,1436
8968,130318,8,17,497
8969,130319,22,20,1340
8970,130320,15,14,914
8971,130321,2,45,165
8972,130322,1,50,110
8973,130323,15,39,939
8974,130324,19,18,1158
8975,130325,13,21,801
8976,130326,2,28,148
8977,130327,15,0,900
8978,130328,6,49,409
8979,130329,3,0,180
8980,130330,11,15,675
8981,130331,8,50,530
